, etot, ebond, eang, etor, evdw, ehb_cho, ehb_chn,ehb_chc, ecoul, density
147 , -28081.07349 , -1382.67012848 , 13.16209899 , 5.55883472 , 238.40486498 , -9.68861499 , -0.53575249 , -0.16533334 , -34.10007217 , 1.782384765327997
148 , -28080.99118 , -1382.43854895 , 13.31310283 , 6.07876926 , 238.01470451 , -8.07861934 , -0.49965629 , -0.16682971 , -33.20171191 , 1.803971468213779
149 , -28080.377 , -1382.80914429 , 13.30115804 , 5.6896518 , 238.40150203 , -8.3264905 , -0.48318016 , -0.20317964 , -33.22312101 , 1.7495220226927966
150 , -28079.95696 , -1383.82167404 , 13.838351 , 6.13627315 , 238.86561367 , -8.37233681 , -0.65360817 , -0.18622249 , -32.7027539 , 1.7221337893695328
151 , -28080.61093 , -1382.31218374 , 13.25195052 , 5.81459668 , 237.67537923 , -8.01888854 , -0.44397923 , -0.29880773 , -31.72460396 , 1.7873845051769743
152 , -28080.69104 , -1382.65911105 , 13.17324 , 5.92397521 , 238.09792797 , -7.66588615 , -0.49377617 , -0.17361989 , -32.21155993 , 1.7859548911225485
153 , -28080.76687 , -1381.91986132 , 12.56871743 , 5.79307851 , 237.77401244 , -8.87175344 , -0.58805676 , -0.20437469 , -31.88355409 , 1.7015119381417607
154 , -28080.56313 , -1382.98771649 , 13.00687347 , 5.8079268 , 238.81888783 , -8.51522068 , -0.70728131 , -0.1829568 , -32.20416215 , 1.7015181071377852
155 , -28081.12968 , -1382.8315477 , 13.14738484 , 5.87908943 , 238.03058366 , -8.92973568 , -0.46971311 , -0.15144691 , -34.18676244 , 1.7293529740520748
156 , -28080.93771 , -1382.2814993 , 12.9341909 , 5.89672589 , 238.1881334 , -8.29929206 , -0.63737114 , -0.15792149 , -32.72030848 , 1.7417415207534541
157 , -28080.44745 , -1382.46052227 , 13.14473795 , 5.65135509 , 237.99493487 , -8.51121448 , -0.48240888 , -0.17453288 , -32.2650401 , 1.7418380904644741
158 , -28080.3063 , -1382.30261065 , 13.06175021 , 5.8188621 , 237.57565719 , -8.03827761 , -0.48650739 , -0.20350352 , -32.22001631 , 1.7575986243531094
