, etot, eang, etor, evdw, ehb, ecoul, density
177 , -14040.45865 , 4.61564242 , 7.8600264 , 101.81263393 , -0.31040595 , -16.99921702 , 1.7666491797376855
178 , -14040.66584 , 4.89147134 , 7.8269547 , 101.99693719 , -0.26680431 , -16.87091315 , 1.8294300365094789
179 , -14040.53218 , 5.10240728 , 7.90648238 , 102.35433569 , -0.2271626 , -16.17741724 , 1.728891362930781
180 , -14040.36685 , 5.17177987 , 7.58910683 , 102.5710522 , -0.31481915 , -16.59249084 , 1.7286251179699592
181 , -14040.25292 , 4.88960602 , 7.95568741 , 101.81834606 , -0.27016293 , -16.23896417 , 1.7658094372047306
182 , -14040.25485 , 5.37910306 , 7.82105876 , 102.61473506 , -0.25188771 , -16.2655728 , 1.6663626869958814
183 , -14040.6406 , 5.03779437 , 7.61077757 , 102.41819304 , -0.26227704 , -16.56632405 , 1.7610971883819162
184 , -14040.4119 , 5.29335954 , 7.55482392 , 102.48456458 , -0.28938419 , -16.72076387 , 1.7385345381807853
185 , -14040.57298 , 4.71857105 , 7.84356482 , 101.75938982 , -0.28991967 , -16.02585269 , 1.72490953660885
186 , -14040.21273 , 5.03942913 , 7.98612801 , 102.05158882 , -0.27000414 , -16.78458881 , 1.7224658788153724
187 , -14040.22923 , 5.12083359 , 7.54676721 , 102.52108198 , -0.32458695 , -17.13710758 , 1.6778628282158987
188 , -14040.32624 , 4.97101801 , 7.72632873 , 102.00999785 , -0.25132334 , -16.34107742 , 1.8040203991450472
189 , -14040.52276 , 4.86123911 , 7.68388744 , 102.03359777 , -0.28625301 , -17.10136322 , 1.8566344446095602
190 , -14040.63197 , 4.90489864 , 7.71466502 , 101.95050915 , -0.28086517 , -17.06498072 , 1.823729285373605
191 , -14040.58813 , 5.18428723 , 7.50124952 , 102.40548715 , -0.23619302 , -15.76352239 , 1.7481539351576838
192 , -14040.70179 , 4.82458549 , 7.74653234 , 101.797528 , -0.27465418 , -17.09339264 , 1.8089115209092492
193 , -14040.67729 , 5.288838 , 7.57297388 , 102.54266001 , -0.26530757 , -16.15999785 , 1.7360198618428258
194 , -14040.62388 , 5.18633184 , 7.50103924 , 102.41087395 , -0.23613827 , -15.76426956 , 1.7547942850954419
195 , -14040.4887 , 4.88727749 , 7.93836032 , 102.06510466 , -0.28088057 , -16.43827688 , 1.804456981396026
196 , -14040.54294 , 4.76242712 , 7.79011931 , 101.84666529 , -0.24080898 , -15.95132692 , 1.8250885698808097
197 , -14040.62011 , 4.87137405 , 7.85098046 , 101.93161618 , -0.26429785 , -16.862281 , 1.8441615068887394
198 , -14040.48663 , 5.32254593 , 7.58665466 , 102.67186846 , -0.27067424 , -16.47392914 , 1.7960771015159993
199 , -14040.62775 , 4.75507875 , 7.78060375 , 101.67402838 , -0.29625345 , -16.54932044 , 1.806843345732764
200 , -14040.66139 , 4.86547361 , 7.90367831 , 101.71929871 , -0.24803276 , -16.85950878 , 1.776141119303104
201 , -14040.56629 , 4.71590834 , 7.90202274 , 101.68353421 , -0.2678944 , -16.35484058 , 1.7148147164023797
202 , -14040.40167 , 4.81991949 , 7.73276609 , 101.815183 , -0.29166266 , -17.19121926 , 1.7674407588553234
203 , -14040.6226 , 4.88242427 , 7.74492625 , 102.13020191 , -0.27067948 , -16.67811172 , 1.7631104965056619
204 , -14040.44756 , 4.8501777 , 7.96118978 , 101.9077311 , -0.27591968 , -16.56205163 , 1.7653401466497054
205 , -14040.57305 , 5.20113131 , 7.56043322 , 102.39903183 , -0.30492409 , -16.34101323 , 1.7439645752123014
206 , -14040.28582 , 5.16631172 , 7.62050773 , 102.37808678 , -0.26617547 , -16.28328318 , 1.8417504860883345
207 , -14040.37053 , 5.37683409 , 7.66371592 , 102.6171458 , -0.31120882 , -16.848339 , 1.721718982972375
208 , -14040.33679 , 4.75913933 , 7.99024788 , 101.64597359 , -0.2624698 , -16.15255598 , 1.7550754220340503
209 , -14040.53048 , 4.8299356 , 7.78290703 , 101.7360098 , -0.28036475 , -16.60358237 , 1.744093881490824
210 , -14040.73894 , 5.28021071 , 7.71716371 , 102.53836495 , -0.24603297 , -16.37266226 , 1.7488559605537195
211 , -14040.40526 , 5.92242658 , 7.48724913 , 103.24210582 , -0.24051054 , -16.76258607 , 1.7935215535290996
212 , -14040.12928 , 5.80876679 , 7.53014887 , 102.94767224 , -0.2008274 , -16.40299421 , 1.7397340243848833
213 , -14040.6999 , 5.27717941 , 7.60498711 , 102.49860071 , -0.25532487 , -16.7271816 , 1.7778091803889369
214 , -14040.27902 , 5.24334736 , 7.53331494 , 102.62472454 , -0.27903258 , -16.97712516 , 1.7208450380876512
215 , -14040.65471 , 5.16513734 , 7.64068727 , 102.73646236 , -0.26272477 , -16.75160038 , 1.7165009487121434
216 , -14040.43132 , 4.89527419 , 7.76044924 , 102.02235703 , -0.2404233 , -16.37456541 , 1.7073506713004873
217 , -14039.79376 , 4.80524833 , 8.07672362 , 101.83059019 , -0.22650466 , -15.73993251 , 1.6765875589414405
218 , -14040.58771 , 4.6959506 , 7.80374713 , 101.7180956 , -0.28827592 , -16.49700678 , 1.7380662135887608
219 , -14040.6803 , 5.28392701 , 7.57190671 , 102.56066617 , -0.26617508 , -16.19079989 , 1.7338481222755036
220 , -14040.39406 , 4.93982871 , 7.86521432 , 101.98595113 , -0.27780189 , -16.6895181 , 1.6864805065232729
221 , -14040.44742 , 4.9563469 , 7.8534219 , 102.03797559 , -0.27520932 , -16.67517197 , 1.7094583876771794
222 , -14040.32275 , 4.95402226 , 7.85633717 , 102.02064822 , -0.27483083 , -16.66611934 , 1.642454000613359
223 , -14040.54283 , 4.90326138 , 7.65810852 , 101.90873211 , -0.28556684 , -17.11638605 , 1.8487191413524502
224 , -14040.9194 , 5.42343096 , 7.55399014 , 102.54143655 , -0.33132113 , -17.78123031 , 1.8487287299692772
225 , -14040.85759 , 5.22736513 , 7.54913183 , 102.44101118 , -0.2886345 , -17.5169843 , 1.847227959467195
226 , -14040.88271 , 5.42316692 , 7.55400158 , 102.54201592 , -0.33135456 , -17.78135109 , 1.8544804275989766
227 , -14040.5419 , 5.38465937 , 7.52017277 , 102.57063671 , -0.29759315 , -16.68958377 , 1.8052461105177802
