, etot, eang, etor, evdw, ehb, ecoul, density
178 , -574.30738538 , 4.89147134 , 7.8269547 , 101.99693719 , -0.26680431 , -16.87091315 , 1.9121071075201514
179 , -573.75280358 , 5.10240728 , 7.90648238 , 102.35433569 , -0.2271626 , -16.17741724 , 1.7640880823575504
180 , -573.99672478 , 5.17177987 , 7.58910683 , 102.5710522 , -0.31481915 , -16.59249084 , 1.7694155000048166
181 , -573.9781203 , 4.88960602 , 7.95568741 , 101.81834606 , -0.27016293 , -16.23896417 , 1.861144506285696
182 , -573.4744167 , 5.37910306 , 7.82105876 , 102.61473506 , -0.25188771 , -16.2655728 , 1.7427664567209475
183 , -574.06589643 , 5.03779437 , 7.61077757 , 102.41819304 , -0.26227704 , -16.56632405 , 1.811507876845303
184 , -573.90244257 , 5.29335954 , 7.55482392 , 102.48456458 , -0.28938419 , -16.72076387 , 1.8411897055930264
185 , -573.82141012 , 4.71857105 , 7.84356482 , 101.75938982 , -0.28991967 , -16.02585269 , 1.8062082322905302
186 , -573.87695178 , 5.03942913 , 7.98612801 , 102.05158882 , -0.27000414 , -16.78458881 , 1.8386183844708095
187 , -574.10303961 , 5.12083359 , 7.54676721 , 102.52108198 , -0.32458695 , -17.13710758 , 1.84048999551048
188 , -573.92288313 , 4.97101801 , 7.72632873 , 102.00999785 , -0.25132334 , -16.34107742 , 1.8486468186575986
189 , -574.22065246 , 4.86123911 , 7.68388744 , 102.03359777 , -0.28625301 , -17.10136322 , 1.892796921341097
190 , -574.28227941 , 4.90489864 , 7.71466502 , 101.95050915 , -0.28086517 , -17.06498072 , 1.9000134474808008
191 , -573.66979809 , 5.18428723 , 7.50124952 , 102.40548715 , -0.23619302 , -15.76352239 , 1.7862707835288807
192 , -574.3006055 , 4.82458549 , 7.74653234 , 101.797528 , -0.27465418 , -17.09339264 , 1.885124357855561
193 , -573.71523719 , 5.288838 , 7.57297388 , 102.54266001 , -0.26530757 , -16.15999785 , 1.8085606037536397
194 , -573.66969023 , 5.18633184 , 7.50103924 , 102.41087395 , -0.23613827 , -15.76426956 , 1.7869551365295384
195 , -573.87965086 , 4.88727749 , 7.93836032 , 102.06510466 , -0.28088057 , -16.43827688 , 1.8906905879166604
196 , -574.17557373 , 4.76242712 , 7.79011931 , 101.84666529 , -0.24080898 , -15.95132692 , 1.9224875578387879
197 , -574.2999224 , 4.87137405 , 7.85098046 , 101.93161618 , -0.26429785 , -16.862281 , 1.9205823514905067
198 , -573.96467311 , 5.32254593 , 7.58665466 , 102.67186846 , -0.27067424 , -16.47392914 , 1.900664644005852
